order_id,product,category,quantity,price,order_date
10107,S10_1678,Motorcycles,30,95.7,2/24/2003 0:00
10121,S10_1678,Motorcycles,34,81.35,05/07/2003 00:00
10134,S10_1678,Motorcycles,41,94.74,07/01/2003 00:00
10145,S10_1678,Motorcycles,45,83.26,8/25/2003 0:00
10159,S10_1678,Motorcycles,49,100,10/10/2003 00:00
10168,S10_1678,Motorcycles,36,96.66,10/28/2003 0:00
10180,S10_1678,Motorcycles,29,86.13,11/11/2003 00:00
10188,S10_1678,Motorcycles,48,100,11/18/2003 0:00
10201,S10_1678,Motorcycles,22,98.57,12/01/2003 00:00
10211,S10_1678,Motorcycles,41,100,1/15/2004 0:00
10223,S10_1678,Motorcycles,37,100,2/20/2004 0:00
10237,S10_1678,Motorcycles,23,100,04/05/2004 00:00
10251,S10_1678,Motorcycles,28,100,5/18/2004 0:00
10263,S10_1678,Motorcycles,34,100,6/28/2004 0:00
10275,S10_1678,Motorcycles,45,92.83,7/23/2004 0:00
10285,S10_1678,Motorcycles,36,100,8/27/2004 0:00
10299,S10_1678,Motorcycles,23,100,9/30/2004 0:00
10309,S10_1678,Motorcycles,41,100,10/15/2004 0:00
10318,S10_1678,Motorcycles,46,94.74,11/02/2004 00:00
10329,S10_1678,Motorcycles,42,100,11/15/2004 0:00
10341,S10_1678,Motorcycles,41,100,11/24/2004 0:00
10361,S10_1678,Motorcycles,20,72.55,12/17/2004 0:00
10375,S10_1678,Motorcycles,21,34.91,02/03/2005 00:00
10388,S10_1678,Motorcycles,42,76.36,03/03/2005 00:00
10403,S10_1678,Motorcycles,24,100,04/08/2005 00:00
10417,S10_1678,Motorcycles,66,100,5/13/2005 0:00
10103,S10_1949,Classic Cars,26,100,1/29/2003 0:00
10112,S10_1949,Classic Cars,29,100,3/24/2003 0:00
10126,S10_1949,Classic Cars,38,100,5/28/2003 0:00
10140,S10_1949,Classic Cars,37,100,7/24/2003 0:00
10150,S10_1949,Classic Cars,45,100,9/19/2003 0:00
10163,S10_1949,Classic Cars,21,100,10/20/2003 0:00
10174,S10_1949,Classic Cars,34,100,11/06/2003 00:00
10183,S10_1949,Classic Cars,23,100,11/13/2003 0:00
10194,S10_1949,Classic Cars,42,100,11/25/2003 0:00
10206,S10_1949,Classic Cars,47,100,12/05/2003 00:00
10215,S10_1949,Classic Cars,35,100,1/29/2004 0:00
10228,S10_1949,Classic Cars,29,100,03/10/2004 00:00
10245,S10_1949,Classic Cars,34,100,05/04/2004 00:00
10258,S10_1949,Classic Cars,32,100,6/15/2004 0:00
10270,S10_1949,Classic Cars,21,100,7/19/2004 0:00
10280,S10_1949,Classic Cars,34,100,8/17/2004 0:00
10291,S10_1949,Classic Cars,37,100,09/08/2004 00:00
10304,S10_1949,Classic Cars,47,100,10/11/2004 00:00
10312,S10_1949,Classic Cars,48,100,10/21/2004 0:00
10322,S10_1949,Classic Cars,40,100,11/04/2004 00:00
10333,S10_1949,Classic Cars,26,100,11/18/2004 0:00
10347,S10_1949,Classic Cars,30,100,11/29/2004 0:00
10357,S10_1949,Classic Cars,32,100,12/10/2004 00:00
10369,S10_1949,Classic Cars,41,100,1/20/2005 0:00
10381,S10_1949,Classic Cars,36,100,2/17/2005 0:00
10391,S10_1949,Classic Cars,24,100,03/09/2005 00:00
10411,S10_1949,Classic Cars,23,100,05/01/2005 00:00
10424,S10_1949,Classic Cars,50,100,5/31/2005 0:00
10107,S10_2016,Motorcycles,39,99.91,2/24/2003 0:00
10120,S10_2016,Motorcycles,29,96.34,4/29/2003 0:00
10134,S10_2016,Motorcycles,27,100,07/01/2003 00:00
10145,S10_2016,Motorcycles,37,100,8/25/2003 0:00
10159,S10_2016,Motorcycles,37,100,10/10/2003 00:00
10168,S10_2016,Motorcycles,27,100,10/28/2003 0:00
10180,S10_2016,Motorcycles,42,100,11/11/2003 00:00
10188,S10_2016,Motorcycles,38,96.34,11/18/2003 0:00
10201,S10_2016,Motorcycles,24,100,12/01/2003 00:00
10210,S10_2016,Motorcycles,23,100,01/12/2004 00:00
10223,S10_2016,Motorcycles,47,100,2/20/2004 0:00
10236,S10_2016,Motorcycles,22,100,04/03/2004 00:00
10251,S10_2016,Motorcycles,44,100,5/18/2004 0:00
10263,S10_2016,Motorcycles,40,100,6/28/2004 0:00
10275,S10_2016,Motorcycles,22,100,7/23/2004 0:00
10285,S10_2016,Motorcycles,47,100,8/27/2004 0:00
10298,S10_2016,Motorcycles,39,96.34,9/27/2004 0:00
10308,S10_2016,Motorcycles,34,100,10/15/2004 0:00
10318,S10_2016,Motorcycles,45,100,11/02/2004 00:00
10329,S10_2016,Motorcycles,20,100,11/15/2004 0:00
10339,S10_2016,Motorcycles,40,68.92,11/23/2004 0:00
10361,S10_2016,Motorcycles,26,51.15,12/17/2004 0:00
10374,S10_2016,Motorcycles,39,100,02/02/2005 00:00
10388,S10_2016,Motorcycles,50,44.51,03/03/2005 00:00
10402,S10_2016,Motorcycles,45,100,04/07/2005 00:00
10417,S10_2016,Motorcycles,45,100,5/13/2005 0:00
10107,S10_4698,Motorcycles,27,100,2/24/2003 0:00
10120,S10_4698,Motorcycles,46,100,4/29/2003 0:00
10134,S10_4698,Motorcycles,31,100,07/01/2003 00:00
10145,S10_4698,Motorcycles,33,100,8/25/2003 0:00
10159,S10_4698,Motorcycles,22,100,10/10/2003 00:00
10168,S10_4698,Motorcycles,20,100,10/28/2003 0:00
10180,S10_4698,Motorcycles,41,100,11/11/2003 00:00
10188,S10_4698,Motorcycles,45,100,11/18/2003 0:00
10201,S10_4698,Motorcycles,49,100,12/01/2003 00:00
10210,S10_4698,Motorcycles,34,100,01/12/2004 00:00
10223,S10_4698,Motorcycles,49,100,2/20/2004 0:00
10237,S10_4698,Motorcycles,39,100,04/05/2004 00:00
10251,S10_4698,Motorcycles,43,100,5/18/2004 0:00
10263,S10_4698,Motorcycles,41,100,6/28/2004 0:00
10275,S10_4698,Motorcycles,36,100,7/23/2004 0:00
10285,S10_4698,Motorcycles,27,100,8/27/2004 0:00
10299,S10_4698,Motorcycles,29,100,9/30/2004 0:00
10308,S10_4698,Motorcycles,20,100,10/15/2004 0:00
10318,S10_4698,Motorcycles,37,100,11/02/2004 00:00
10329,S10_4698,Motorcycles,26,100,11/15/2004 0:00
10339,S10_4698,Motorcycles,39,76.67,11/23/2004 0:00
10362,S10_4698,Motorcycles,22,100,01/05/2005 00:00
10374,S10_4698,Motorcycles,22,100,02/02/2005 00:00
10388,S10_4698,Motorcycles,21,86.77,03/03/2005 00:00
10403,S10_4698,Motorcycles,66,100,04/08/2005 00:00
10417,S10_4698,Motorcycles,56,100,5/13/2005 0:00
10105,S10_4757,Classic Cars,50,100,02/11/2003 00:00
10119,S10_4757,Classic Cars,46,100,4/28/2003 0:00
10129,S10_4757,Classic Cars,33,100,06/12/2003 00:00
10143,S10_4757,Classic Cars,49,100,08/10/2003 00:00
10155,S10_4757,Classic Cars,32,100,10/06/2003 00:00
10167,S10_4757,Classic Cars,44,100,10/23/2003 0:00
10178,S10_4757,Classic Cars,24,100,11/08/2003 00:00
10186,S10_4757,Classic Cars,26,100,11/14/2003 0:00
10197,S10_4757,Classic Cars,45,100,11/26/2003 0:00
10209,S10_4757,Classic Cars,39,100,01/09/2004 00:00
10222,S10_4757,Classic Cars,49,100,2/19/2004 0:00
10248,S10_4757,Classic Cars,20,100,05/07/2004 00:00
10261,S10_4757,Classic Cars,27,100,6/17/2004 0:00
10273,S10_4757,Classic Cars,30,100,7/21/2004 0:00
10283,S10_4757,Classic Cars,25,100,8/20/2004 0:00
10295,S10_4757,Classic Cars,24,100,09/10/2004 00:00
10307,S10_4757,Classic Cars,22,100,10/14/2004 0:00
10316,S10_4757,Classic Cars,33,100,11/01/2004 00:00
10325,S10_4757,Classic Cars,47,64.93,11/05/2004 00:00
10337,S10_4757,Classic Cars,25,48.05,11/21/2004 0:00
10350,S10_4757,Classic Cars,26,75.47,12/02/2004 00:00
10359,S10_4757,Classic Cars,48,54.68,12/15/2004 0:00
10373,S10_4757,Classic Cars,39,100,1/31/2005 0:00
10384,S10_4757,Classic Cars,34,100,2/23/2005 0:00
10395,S10_4757,Classic Cars,32,100,3/17/2005 0:00
10400,S10_4757,Classic Cars,64,100,04/01/2005 00:00
10414,S10_4757,Classic Cars,19,100,05/06/2005 00:00
10103,S10_4962,Classic Cars,42,100,1/29/2003 0:00
10114,S10_4962,Classic Cars,31,100,04/01/2003 00:00
10126,S10_4962,Classic Cars,22,100,5/28/2003 0:00
10140,S10_4962,Classic Cars,26,100,7/24/2003 0:00
10150,S10_4962,Classic Cars,20,100,9/19/2003 0:00
10164,S10_4962,Classic Cars,21,100,10/21/2003 0:00
10175,S10_4962,Classic Cars,33,100,11/06/2003 00:00
10183,S10_4962,Classic Cars,28,100,11/13/2003 0:00
10194,S10_4962,Classic Cars,26,100,11/25/2003 0:00
10207,S10_4962,Classic Cars,31,100,12/09/2003 00:00
10217,S10_4962,Classic Cars,48,100,02/04/2004 00:00
10229,S10_4962,Classic Cars,50,100,03/11/2004 00:00
10245,S10_4962,Classic Cars,28,100,05/04/2004 00:00
10259,S10_4962,Classic Cars,26,100,6/15/2004 0:00
10270,S10_4962,Classic Cars,32,100,7/19/2004 0:00
10281,S10_4962,Classic Cars,44,100,8/19/2004 0:00
10291,S10_4962,Classic Cars,30,100,09/08/2004 00:00
10305,S10_4962,Classic Cars,38,100,10/13/2004 0:00
10313,S10_4962,Classic Cars,40,100,10/22/2004 0:00
10322,S10_4962,Classic Cars,46,61.99,11/04/2004 00:00
10334,S10_4962,Classic Cars,26,100,11/19/2004 0:00
10347,S10_4962,Classic Cars,27,100,11/29/2004 0:00
10357,S10_4962,Classic Cars,43,100,12/10/2004 00:00
10370,S10_4962,Classic Cars,35,65.63,1/20/2005 0:00
10381,S10_4962,Classic Cars,37,100,2/17/2005 0:00
10391,S10_4962,Classic Cars,37,46.9,03/09/2005 00:00
10411,S10_4962,Classic Cars,27,100,05/01/2005 00:00
10425,S10_4962,Classic Cars,38,100,5/31/2005 0:00
10108,S12_1099,Classic Cars,33,100,03/03/2003 00:00
10122,S12_1099,Classic Cars,42,100,05/08/2003 00:00
10135,S12_1099,Classic Cars,42,100,07/02/2003 00:00
10147,S12_1099,Classic Cars,48,100,09/05/2003 00:00
10159,S12_1099,Classic Cars,41,100,10/10/2003 00:00
